Incident_ID,Age,Gender,Race,School_Affiliation,Shooter_Outcome,Shooter_Died,Injury
20250327NYPSB,Teen,Male,,No Relation,Fled/Escaped,No,
20250324TNKIM,,,,,Fled/Escaped,No,
20250321OHFRC,,,,,Fled/Escaped,No,
20250321NYMSB,,Male,,No Relation,Fled/Escaped,No,
20250321NYMSB,,Male,,No Relation,Fled/Escaped,No,
20250320COAND,Adult,Male,,No Relation,Apprehended/Killed by LE,No,Wounded
20250319NCCAW,17,Male,,Former Student,Fled/Apprehended,No,
20250319NCCAW,Teen,Male,,Student,Fled/Apprehended,No,
20250319NCCAW,Teen,Male,,Student,Fled/Apprehended,No,
20250318PASTH,17,Male,,,Fled/Apprehended,No,
20250316TXGAG,,,,,Fled/Escaped,No,
20250313GAGLA,Adult,Male,,,Apprehended/Killed by LE,No,Wounded
20250311CACAM,18,Male,,Student,Apprehended/Killed by LE,No,
20250311COGLD,16,Male,,,Fled/Escaped,No,
20250310TNROM,Adult,Male,,No Relation,Fled/Escaped,No,
20250307TXHOH,30,Female,White,Parent,Subdued by Students/Staff/Other,No,
20250307COBOG,13,Male,,Student,Apprehended/Killed by LE,No,
20250306TNMUM,Adult,Male,White,Teacher,Suicide,Yes,Suicide
20250306NCMAC,,,,No Relation,Fled/Escaped,No,
20250304MDLAL,,Male,,,Fled/Escaped,No,
20250304TXAKA,14,Male,,Student,Fled/Apprehended,No,
20250304ILPEC,,Male,,,Fled/Escaped,No,
20250226OHSAC,,,,No Relation,Fled/Escaped,No,
20250224ILFOS,Teen,,,No Relation,Fled/Escaped,No,
20250219DEDOD,17,Male,,,Fled/Escaped,No,
20250218AZJOS,Adult,Male,,No Relation,Apprehended/Killed by LE,No,
20250212GAJEM,17,Male,,Student,Fled/Apprehended,No,
20250211OKCOO,17,Male,,No Relation,Fled/Apprehended,No,
20250211TNCAA,15,Male,,No Relation,Fled/Apprehended,No,
20250211TNCAA,16,Male,,No Relation,Fled/Apprehended,No,
20250210WAROS,,,,No Relation,Fled/Escaped,No,
20250207MDWOG,,,,,Fled/Escaped,No,
20250207TXBRF,,,,No Relation,Fled/Escaped,No,
20250206ALCHH,7,,,Student,Surrendered,No,
20250206MIMEO,Adult,,,Police Officer/SRO,Law Enforcement,No,
20250204NYACB,Teen,Male,,,Fled/Escaped,No,
20250201TXPAP,83,Male,,No Relation,Subdued by Students/Staff/Other,No,
20250131ILDUC,,,,,Fled/Escaped,No,
20250130TNMAM,Adult,Male,,,Apprehended/Killed by LE,No,
20250127WAKEK,17,Male,,Former Student,Fled/Escaped,No,
20250127INMOS,,,,,Fled/Escaped,No,
20250122MDACB,,,,,Fled/Escaped,No,
20250122DCROW,,,,No Relation,Fled/Escaped,No,
20250122TNANN,17,Male,Black,Student,Suicide,Yes,Suicide
20250116TNNOJ,,,,Relative,,,
20250116VAJOH,Adult,Male,,Parent,Surrendered,No,Wounded
20250116TNMIM,72,Female,Black,Parent,Surrendered,No,
20250115GALIM,14,Female,,Student,Attempted Suicide,No,Wounded
20250114NYNEN,18,Male,,Former Student,Fled/Apprehended,No,
20250113CTVEM,17,Male,,Former Student,Surrendered,No,
20250109UTSPS,Teen,Male,,Student,Fled/Apprehended,No,
20250108ORMIP,Teen,Male,,No Relation,Fled/Escaped,No,
20250102NYDRN,Teen,Male,,,Fled/Escaped,No,
20241231CTCEB,,,,,Fled/Escaped,No,
20241228PAGRP,,,,,Fled/Escaped,No,
20241217PAPEP,17,Male,,Student,Fled/Apprehended,No,
20241217DCDUW,18,Male,,No Relation,Fled/Apprehended,No,
20241216NCALC,20,Male,Black,No Relation,Fled/Escaped,No,
20241216WIABM,15,Female,,Student,Suicide,Yes,Suicide
20241214TNBRC,,,,,Fled/Escaped,No,
20241213PAPUC,Adult,Male,,Security Guard,Law Enforcement,No,
20241213OKBLO,Adult,Male,,Police Officer/SRO,Law Enforcement,No,
20241213TNEAN,Adult,Male,,No Relation,Fled/Escaped,No,
20241211HIFAH,21,Male,,Security Guard,Law Enforcement,No,Wounded
20241210DEUNM,Adult,,,Police Officer/SRO,Law Enforcement,No,
20241210TXCOS,Adult,Male,,Police Officer/SRO,Law Enforcement,Yes,Suicide
20241210NCRJW,16,Male,,Student,Fled/Apprehended,No,
20241231PAMIH,19,Male,,No Relation,Apprehended/Killed by LE,No,
20241231PAMIH,18,Male,,No Relation,Apprehended/Killed by LE,No,
20241205SDYAY,40,Male,,Nonstudent Using Athletic Facilities/Attending Game,Apprehended/Killed by LE,No,Wounded
20241205NVCAC,Teen,Male,,Student,Apprehended/Killed by LE,No,
20241204NYCLB,Teen,Male,,,Fled/Escaped,No,
20241204CAFEO,56,Male,White,Parent,Suicide,Yes,Suicide
20241204TXSHH,Teen,Male,,Student,Fled/Escaped,No,
20241203KSELE,,,,,Suicide,Yes,Suicide
20241126IDORO,,,,,Fled/Escaped,No,
20241126NYHER,,,,,Fled/Escaped,No,
20241125OHWEC,,,,,Fled/Escaped,No,
20241125TXPIM,,,,,Fled/Escaped,No,
20241122CACAO,Teen,Male,,,Fled/Apprehended,No,Wounded
20241122CTJAN,Teen,Male,,,Fled/Escaped,No,
20241122DCEAW,17,Male,Black,,Fled/Apprehended,No,
20241121FLSAB,16,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,
20241119OHCOC,,,,,Fled/Escaped,No,
20241119TNCEM,16,Male,,Student,Fled/Escaped,No,
20241112ALWOB,Teen,Male,,Student,Fled/Escaped,No,
20241112GATWA,Teen,Male,,Student,Fled/Escaped,No,
20241111MDDUN,14,Male,,Student,Fled/Escaped,No,
20241109ILHIC,Adult,Male,,,Fled/Escaped,No,
20241109ILHIC,Adult,Male,,,Fled/Escaped,No,
20241109ILHIC,Adult,Male,,,Fled/Escaped,No,
20241109ILHIC,Adult,Male,,,Fled/Escaped,No,
20241107WIROK,13,Male,,Former Student,Fled/Apprehended,No,
20241107UTWES,16,Male,,Student,Fled/Apprehended,No,
20241106DESTW,Adult,,,Security Guard,Law Enforcement,No,
20241106ILLAC,,,,No Relation,Fled/Escaped,No,
20241105ORCES,Child,,,Student,Surrendered,No,
20241105FLTYS,13,Female,,Student,Surrendered,No,Wounded
20241104NCPEW,Teen,Male,,,Fled/Escaped,No,
20241104NYAQR,,,,,Fled/Escaped,No,
20241101ILWIC,,,,,Fled/Escaped,No,
20241031OHRIP,Adult,Male,,Parent,Apprehended/Killed by SRO,No,
20241030ALFSP,5,Male,,Relative,Surrendered,No,
20241029MSMEM,,,,,Fled/Escaped,No,
20241027SCBUB,,,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,
20241030SDCHC,,,,,Fled/Escaped,No,
20241025LASTS,22,Male,Black,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,
20241024KSPHP,26,Male,White,No Relation,Apprehended/Killed by LE,No,
20241023MSWEL,Teen,Male,,No Relation,Fled/Apprehended,No,
20241022TNCOM,Adult,Male,,No Relation,Fled/Escaped,No,
20241022TNCOM,Adult,Male,,No Relation,Fled/Escaped,No,
20241022OKREN,15,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,
20241022SCMCG,19,Male,Black,No Relation,Apprehended/Killed by LE,No,
20241022OHEAC,Teen,Male,,Student,Fled/Apprehended,No,
20241020OHWAC,Adult,Male,,Parent,Fled/Escaped,No,
20241018ALSOS,,Male,,No Relation,Fled/Escaped,No,
20241018HIHOC,38,Male,,No Relation,Apprehended/Killed by LE,No,
20241018DEDOD,,Male,,,Fled/Apprehended,No,
20241017LALAL,Adult,Male,,Other Staff,Fled/Apprehended,No,
20241017ORISP,42,Male,Middle Eastern,Parent,Fled/Apprehended,No,
20241017KYATL,Teen,Male,,Student,Surrendered,No,Wounded
20241017NYISB,15,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,
20241015ALHUH,Adult,Male,,Parent,Fled/Escaped,No,
20241015TXWEO,Adult,Male,,No Relation,Apprehended/Killed by LE,Yes,Fatal
20241012WIMIM,30,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,
20241011TNOOO,19,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,
20241011GADOD,Adult,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,
20241010TXKID,,,,No Relation,Fled/Escaped,No,
20241010PACOC,17,Male,,Student,Fled/Apprehended,No,
20241010PACOC,Teen,Male,,Student,Fled/Escaped,No,
20241010WANOS,,,,,Fled/Escaped,No,
20241009MIMAM,Adult,Male,,,Fled/Escaped,No,
20241007NYCHR,,,,,Fled/Escaped,No,
20241007TXPOM,Adult,Male,,No Relation,Fled/Apprehended,No,
20241005FLBLP,,,,,Fled/Escaped,No,
20241005INCAI,Adult,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,
20241005COATC,Adult,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,
20241005CASTB,Adult,,,No Relation,Fled/Escaped,No,
20241004NCCAW,26,Female,Black,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,
20241002LAWEW,14,Male,,Student,Surrendered,No,
20241002ILEMC,,Male,,,Fled/Escaped,No,
20241002ILEMC,,Male,,,Fled/Escaped,No,
20241002ILEMC,,Male,,,Fled/Escaped,No,
20241002ILEMC,,Male,,,Fled/Escaped,No,
20241001CACES,,Male,,No Relation,Fled/Escaped,No,
20240929KYPLL,22,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,
20240927WIWIM,63,Male,,Security Guard,Surrendered,No,Wounded
20240926PAGOB,17,Male,,No Relation,Fled/Escaped,No,
20240925DEFRW,15,Male,,Student,Fled/Apprehended,No,
20240925NYINB,,,,,Fled/Escaped,No,
20240924MOCAK,,,,,Fled/Escaped,No,
20240924NYSOB,Teen,Male,,,Fled/Escaped,No,
20240923TXBUS,Teen,Male,,Student,Fled/Escaped,No,
20240923KSCEW,46,Male,,Parent,Apprehended/Killed by LE,No,Wounded
20240922ILHEC,,Male,,No Relation,Fled/Escaped,No,
20240922PAMAP,,,,,Fled/Escaped,No,
20240921GASOA,,,,,Fled/Apprehended,No,
20240920LADED,18,Male,,Student,Fled/Apprehended,No,
20240920WVSGM,50,Male,White,No Relation,Fled/Apprehended,No,
20240920OHNON,,,,,Fled/Escaped,No,
20240920TXMAM,Adult,Male,,Police Officer/SRO,Law Enforcement,No,Wounded
20240919GAHAC,20,Male,,No Relation,Fled/Apprehended,No,
20240917MNWAS,16,Male,,Student,Fled/Apprehended,No,
20240916TNCOM,Adult,Male,,No Relation,Apprehended/Killed by LE,No,
20240913GAMAM,15,Male,,Student,Fled/Apprehended,No,
20240913GAMAM,17,Male,,Student,Fled/Apprehended,No,
20240913GAMAM,17,Male,,Student,Fled/Apprehended,No,
20240913GAFRA,Adult,Male,,No Relation,Fled/Escaped,No,
20240912MOTUS,Adult,,,Parent,Surrendered,No,Wounded
20240912OHTAC,Teen,Male,,,Fled/Escaped,No,
20240912DCKIW,,,,,Fled/Escaped,No,
20240911GATRT,Adult,Male,,Police Officer/SRO,Law Enforcement,No,Wounded
20240910AZMAP,Teen,Male,,Student,Fled/Apprehended,No,
20240910SCRIG,16,Male,,Student,Fled/Apprehended,No,
20240910SCRIG,Teen,Male,,Student,Fled/Escaped,No,
20240910NEOMO,Teen,Male,,Student,Fled/Apprehended,No,
20240909TXSOD,Teen,,,Student,Fled/Escaped,No,
20240906WVMAM,,,,No Relation,Fled/Escaped,No,
20240906MDJOJ,16,Male,,Student,Fled/Apprehended,No,
20240904NYANB,,,,,Fled/Escaped,No,
20240904KYCLC,31,Male,White,Other Staff,Fled/Apprehended,No,
20240904GAAPW,14,Male,,Student,Surrendered,No,
20240903LABEB,23,Male,,Parent,Fled/Apprehended,No,
20240903NYFAF,Adult,,,,Surrendered,No,
20240902MDWHP,44,Male,,No Relation,Fled/Apprehended,No,
20240830MIROR,Teen,Male,,Student,Fled/Escaped,No,
20240830NJPAW,16,Male,,Student,Fled/Apprehended,No,
20240830PAWOC,,,,No Relation,Fled/Escaped,No,
20240830GARIR,Adult,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,
20240824NYPSB,49,Male,Black,No Relation,Fled/Apprehended,No,
20240824NYPSB,26,Male,Black,No Relation,Fled/Apprehended,No,
20240824NYPSB,29,Male,Black,No Relation,Fled/Apprehended,No,
20240824NYPSB,26,Male,Black,No Relation,Fled/Apprehended,No,
20240826WIJAJ,24,Male,,No Relation,Fled/Apprehended,No,
20240826NEWOW,,,,,Fled/Escaped,No,
20240824ALCJC,,Male,,,Fled/Apprehended,No,
20240824ILGAC,Teen,Male,,,Fled/Escaped,No,
20240822MOHAL,16,Male,,Student,Suicide,Yes,Suicide
20240822TXFRE,Adult,,,Police Officer/SRO,Law Enforcement,No,
20240820LABAB,Adult,Male,White,No Relation,Fled/Apprehended,No,
20240820KSKAT,,,,No Relation,Fled/Escaped,No,
20240819LABOB,32,Male,Black,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,
20240819CANAS,Teen,Male,,Student,Fled/Apprehended,No,
20240819CADES,Teen,Male,,Student,Fled/Apprehended,No,
