Incident_ID,Month,Day,Year,Date,School,Victims_Killed,Victims_Wounded,Number_Victims,Shooter_Killed,Source,Number_News,Media_Attention,Reliability,Quarter,City,State,School_Level,Location,Location_Type,During_Classes,Time_Period,First_Shot,Duration_min,Summary,Narrative,Situation,GV_Type,Involves_Students_Staff,Targets,Accomplice,Accomplice_Narrative,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Active_Shooter_FBI,Multiple_Location,Preplanned,SRO_School,Security_Screening,Screening_Outcome,Shots_Fired,School_Lockdown,LAT,LNG,Campus_Type,Zipcode
20240314OHLOD,3,14,2024,2024-03-14,Louise Troy Elementary School,2,0,2,0,"https://www.wdtn.com/news/local-news/shooting-reported-in-dayton-thursday-night/
https://www.daytondailynews.com/local/2-teens-dead-following-shooting-near-dayton-school/MC22GKUGK5G7JFS4XC7RQKBFK4/",3.0,Local,3.0,Spring,Dayton,OH,Elementary,Field (General),Outside on School Property,No,Evening,19:50:00,1.0,Two teens fatally shot during fight between group of teens on the school's field,Two teens fatally shot during fight between group of teens on the school's field. Shooter fled before police arrived.,Escalation of Dispute,Spontaneous,No,Victims Targeted,Yes,,No,No,No,No,No,,No,Outside,No,,,Outside/Off-Property,99,No,39.737324,-84.224694,Single building indoor hallway,45417
20240313MDFOG,3,13,2024,2024-03-13,Fox Chapel Elementary School,0,0,0,0,"https://mocoshow.com/2024/03/13/fox-chapel-elementary-school-in-lockdown-following-report-of-shots-fired-near-campus/
https://mocoshow.com/2024/03/13/fox-chapel-elementary-school-in-lockdown-following-report-of-shots-fired-near-campus/",3.0,Local,4.0,Spring,Germantown,MD,Elementary,Field (General),Outside on School Property,Yes,Afternoon Classes,15:16:00,1.0,Shots fired by teenage high school students on the school field,Shots fired by teenage high school students on the school field just prior to dismissal. School went on lockdown. Shooter fled. Shell casings were recovered at the school.,Escalation of Dispute,Spontaneous,Yes,Victims Targeted,No,,No,No,No,No,No,Yes,No,Outside,No,,,Outside/Off-Property,99,Yes,39.172369,-77.241428,Multiple attached buildings,20876
20240313WAGAS,3,13,2024,2024-03-13,Garfield High School,0,1,1,0,"https://komonews.com/news/local/garfield-high-school-17-year-old-girl-shot-gun-violence-student-fire-department-police-spd-sfd-harborview-medical-center-hospital-stable-condition-incident-king-county-led-up-unclear-investigation
https://www.kiro7.com/news/local/video-girl-shot-near-garfield-high-school/f5af8864-2c59-45b8-9300-f9b717519a7f/",10.0,Regional,4.0,Spring,Seattle,WA,High,Front of School,Outside on School Property,Yes,Dismissal,14:40:00,1.0,Female student shot while waiting at bus stop in front of the school at dismissal,Female student shot while waiting at bus stop in front of the school at dismissal. Shots fired from a vehicle. Unclear if she was target or bystander. Shooting put three schools on lockdown. Seattle police are developing a new safety plan for dismissal.,Drive-by Shooting,Targeted,Yes,,,,No,No,No,No,No,,No,Outside,No,,,Outside/Off-Property,99,Yes,47.604989,-122.30233,Single building indoor hallway,98122
20240313MDWIB,3,13,2024,2024-03-13,Windsor Hills Elementary/Middle School,1,0,1,0,https://www.wbaltv.com/article/police-womans-body-found-near-baltimore-school/60188521,3.0,Local,4.0,Spring,Baltimore,MD,K-8,Playground,Outside on School Property,Yes,School Start,07:17:00,1.0,"Woman was fatally shot by school playground, students walking to school saw the body",Woman was fatally shot near the school playground before the building opened. Police and EMS were called to the school at 7:17AM. School did not send a notification to parents so students arrived at the school and walked past the crime scene.,,,Yes,Victims Targeted,No,,No,No,No,No,No,,No,Outside,No,,,Outside/Off-Property,99,No,39.316633,-76.68301,Single building indoor hallway,21216
20240311TXCHT,3,11,2024,2024-03-11,Charter Oak Elementary,1,0,1,0,https://www.tdtnews.com/news/central_texas_news/article_7e843b90-e0bf-11ee-893d-d3842fe6ed82.html,1.0,Local,3.0,Spring,Temple,TX,Elementary,Playground,Outside on School Property,No,Evening,19:00:00,1.0,1-year-old child fatally shot on school playground,A 1-year-old child was fatally shot on the school playground while playing with family members. No arrests made. Police believe the shooting was accidental.,Accidental,Spontaneous,No,Neither,No,,No,No,No,No,No,No,No,Outside,No,,,Outside/Off-Property,1,No,31.097525,-97.440166,Multiple attached buildings,76502
20240311MASPS,3,11,2024,2024-03-11,Springfield High School of Science and Technology,0,0,0,0,"https://www.necn.com/news/local/police-seek-suspect-who-fired-shot-inside-springfield-high-school/3186569/
https://www.masslive.com/westernmass/2024/03/shot-fired-at-sci-tech-high-school-in-springfield-after-large-disturbance.html
https://www.westernmassnews.com/2024/03/12/our-kids-should-be-safe-city-leaders-parents-speak-out-after-shots-fired-sci-tech-school/",5.0,Regional,4.0,Spring,Springfield,MA,High,Hallway,Inside School Building,Yes,Afternoon Classes,14:00:00,1.0,Shots fired in hallway during fight broke school window,Shots fired in hallway during fight broke school window. Shooter fled and school went on lockdown. Principal states that students had let two adults into the building prior to the fight starting.,Escalation of Dispute,Spontaneous,Yes,Victims Targeted,Yes,,No,No,No,No,No,,No,Hallway,No,,,Failed,99,Yes,42.117244,-72.550605,Multiple detached buildings,1109
20240307NYPSB,3,7,2024,2024-03-07,PS 157 Grove Hill,1,0,1,0,"https://www.nbcnewyork.com/news/local/bronx-teen-shot-playground-longwood-school/5205544/
https://abc7ny.com/teen-shot-shooting-fight/14501148/
https://bronx.news12.com/nypd-17-year-old-male-fatally-shot-in-the-neck-in-morrisania",3.0,Local,4.0,Spring,Bronx,NY,Elementary,Playground,Outside on School Property,No,After School,16:15:00,1.0,Teen fatally shot in the neck during fight outside school,"The incident took place at around 4:15 p.m., according to the NYPD. Teen was transported to NYC Health + Hospitals/Lincoln and was pronounced dead a few hours later. The teen was found near Legacy College Prep High School and P.S. 157. It is unknown if he is a student there. No arrests have been made.",Escalation of Dispute,Spontaneous,Yes,Victims Targeted,No,,No,No,No,No,No,,No,Outside,No,,,Outside/Off-Property,99,No,40.819569,-73.908767,Single building indoor hallway,10456
20240305INHAL,3,5,2024,2024-03-05,Harrison Hill Elementary School,0,1,1,0,"https://fox59.com/news/indycrime/lawrence-police-still-looking-for-teenage-suspect-2-months-after-shooting-outside-elementary-school/
https://fox59.com/news/indycrime/lawrence-police-respond-to-person-shot-near-elementary-school/",5.0,Local,4.0,Spring,Lawrence,IN,Elementary,Beside Building,Outside on School Property,No,After School,16:00:00,1.0,14-year-old shot during fight with 4 high school students behind school building,"Lawrence police say an argument Tuesday between high-school-aged students ended with a juvenile male being shot behind a Marion County elementary school. Online records show that officers with the Lawrence Police Department were called just after 4 p.m. Tuesday to 7510 E. 53rd Street, the address for Harrison Hill Elementary School, on report of a person shot. Deputy Chief of Police Travis Cline confirmed to FOX59/CBS4 that, upon arrival, officers found a juvenile victim shot in the leg behind the school. The victim has since been taken to the hospital and is in stable condition. According to Cline, several high-school-aged persons of interest have been taken into custody. It is believed that the shooting was the result of an argument between four juveniles that ended when one suspect flashed a gun and shot the victim in the leg.",Escalation of Dispute,Spontaneous,Yes,Victims Targeted,Yes,4 teens arrested,No,No,No,No,No,No,No,Outside,No,,,Outside/Off-Property,1,No,39.850237,-86.035872,Single building indoor hallway,46226
20240304TNBRB,3,4,2024,2024-03-04,Brighton High School,0,1,1,0,"https://www.actionnews5.com/2024/03/04/police-tipton-co-high-schooler-arrested-after-carjacking-another-student-gunpoint-before-school/
https://www.fox13memphis.com/education/hes-got-a-gun-mid-south-high-school-student-carjacks-classmate-at-gunpoint-police-say/article_ec319d82-da6f-11ee-9f12-4b6335391fcf.html",10.0,Regional,4.0,Spring,Brighton,TN,High,Parking Lot,Outside on School Property,Yes,School Start,07:21:00,1.0,"Student carjacked classmate at gunpoint, ran from SRO","A school resource officer was directing traffic on Highway 51 at the entrance to Brighton High School when a white car approached and the girl driving yelled ""He's got a gun,"" BPD said. Earlier Monday morning, the gunman had carjacked the girl, hit her over the head with a gun and then forced her to drive, according to police. When the car approached the school, the gunman jumped out and ran towards the high school tennis courts where he entered a large concrete culvert that runs under Highway 51, BPD said. The school resource officer gave chase, arresting the gunman in the culvert. Police said that ""the threat never entered the school building."" ",Illegal Activity,Targeted,Yes,Victims Targeted,No,,No,No,No,No,No,No,No,Outside,No,Yes,,Outside/Off-Property,0,No,35.478168,-89.746118,Single building indoor hallway,38011
20240302INROR,3,2,2024,2024-03-02,Rochester Community High School,0,0,0,0,"https://www.inkfreenews.com/2024/03/07/more-details-released-on-firearm-discharge-at-rochester-wrestling-tourney/
https://www.953mnc.com/2024/03/02/bremen-man-arrested-after-gun-discharge-at-rochester-high-school/",2.0,Local,4.0,Spring,Rochester,IN,High,Gym,Inside School Building,No,Sport Event,,1.0,Man accidentally fired during inside gym during wrestling tournament,"A Bremen man was arrested when a gun he had in his possession went off during a wrestling tournament at Rochester High School. The incident happened on Saturday afternoon, March 2, during the tournament with athletes, coaches and families in attendance from nearly a dozen area school corporations. Scott Yeager, 44, was found to be in possession of two loaded handguns in his backpack, according to the Fulton County Sheriff’s Office. Authorities believe Yeager negligently discharged the firearm. Yeager was also in possession of illegal narcotics and a knife, police stated.",Accidental,Spontaneous,Yes,Neither,No,,No,No,No,No,No,No,No,Single Room,No,,,Failed,1,No,41.057006,-86.224299,Single building indoor hallway,46975
20240302MONOK,3,2,2024,2024-03-02,North Kansas City High School,0,2,2,0,"https://www.kshb.com/news/local-news/investigations/kshb-41-i-team-obtains-video-showing-shooting-outside-north-kansas-city-high-school
https://www.kctv5.com/2024/03/15/brothers-charged-shooting-that-left-two-wounded-near-north-kansas-city-high-school/
https://www.cbsnews.com/news/shooting-outside-high-school-basketball-game-north-kansas-city-multiple-injuries/
https://www.kshb.com/news/crime/heavy-police-presence-reported-saturday-around-north-kansas-city-high-school",30.0,National,4.0,Spring,Kansas City,MO,High,Beside Building,Outside on School Property,No,Sport Event,20:45:00,1.0,Two students shot outside gym during high school basketball game,"Two people, including a juvenile, were injured in a shooting as a basketball game between North Kansas City High School and Staley High School was ending, officials said. The shooting occurred outside of the school building near the fieldhouse, said Sgt. Christopher Kimmel with the North Kansas City Police Department.",Escalation of Dispute,Spontaneous,Yes,Both,No,,No,No,No,No,No,,No,Outside,No,Yes,Armed Guards,Outside/Off-Property,50,Yes,39.145373,-94.573357,Multiple detached buildings,64116
